set,file,javadoc_lines,params_missing,returns_missing,throws_missing,parse_error
original_with_docs,GuestLoginStrategy.java,29,0,0,0,
original_with_docs,InstructionsPlayRound.java,69,0,0,0,
original_with_docs,Language.java,38,0,0,0,
original_with_docs,Login.java,121,0,0,0,
original_with_docs,LoginStrategy.java,15,0,0,0,
original_with_docs,Question.java,26,0,0,0,
original_with_docs,RegistrierterNutzer.java,48,0,0,0,
original_with_docs,RegularLoginStrategy.java,26,0,0,0,
original_with_docs,RussianFactory.java,27,0,0,0,
original_with_docs,TranslationQuestion.java,41,0,0,0,
original_with_docs,Utilities.java,18,0,0,0,
generated_speaking,GuestLoginStrategy.java,47,0,0,0,
generated_speaking,InstructionsPlayRound.java,86,0,0,0,
generated_speaking,Language.java,66,0,0,0,
generated_speaking,Login.java,141,0,0,0,
generated_speaking,LoginStrategy.java,25,0,0,0,
generated_speaking,Question.java,40,0,0,0,
generated_speaking,RegistrierterNutzer.java,79,0,0,0,
generated_speaking,RegularLoginStrategy.java,42,0,0,0,
generated_speaking,RussianFactory.java,48,0,0,0,
generated_speaking,TranslationQuestion.java,66,0,0,0,
generated_speaking,Utilities.java,38,0,0,0,
generated_obfuscated,GuestLoginStrategy.java,55,0,0,0,
generated_obfuscated,InstructionsPlayRound.java,114,0,0,0,
generated_obfuscated,Language.java,60,0,0,0,
generated_obfuscated,Login.java,130,0,0,0,
generated_obfuscated,LoginStrategy.java,28,0,0,0,
generated_obfuscated,Question.java,42,0,0,0,
generated_obfuscated,RegistrierterNutzer.java,87,0,0,0,
generated_obfuscated,RegularLoginStrategy.java,45,0,0,0,
generated_obfuscated,RussianFactory.java,51,0,0,0,
generated_obfuscated,TranslationQuestion.java,54,0,0,0,
generated_obfuscated,Utilities.java,51,0,0,0,
