set,file,comment_blocks,total_comment_lines,avg_lines_per_block,total_sentences,avg_sentences_per_block,total_words,avg_words_per_block,author_tags,version_tags,see_tags,logically wrong,logically wrong per block
original_with_docs,GuestLoginStrategy.java,4,29,7.25,10,2.5,137,34.25,2,1,0,1,0.25
original_with_docs,InstructionsPlayRound.java,7,69,9.86,15,2.14,267,38.14,2,1,0,0,0
original_with_docs,Language.java,6,38,6.33,15,2.5,180,30,2,1,0,0,0
original_with_docs,Login.java,14,121,8.64,32,2.29,394,28.14,2,1,0,0,0
original_with_docs,LoginStrategy.java,2,15,7.5,6,3,63,31.5,2,1,0,1,0.5
original_with_docs,Question.java,4,26,6.5,9,2.25,103,25.75,2,1,0,0,0
original_with_docs,RegistrierterNutzer.java,9,48,5.33,22,2.44,191,21.22,2,1,0,0,0
original_with_docs,RegularLoginStrategy.java,3,26,8.67,11,3.67,131,43.67,2,1,0,0,0
original_with_docs,RussianFactory.java,4,27,6.75,9,2.25,144,36,2,1,0,0,0
original_with_docs,TranslationQuestion.java,3,41,13.67,10,3.33,149,49.67,2,1,0,0,0
original_with_docs,Utilities.java,3,18,6,8,2.67,76,25.33,2,1,0,0,0
generated_speaking,GuestLoginStrategy.java,5,47,9.4,18,3.6,329,65.8,1,1,1,0,0
generated_speaking,InstructionsPlayRound.java,12,86,7.17,28,2.33,460,38.33,1,1,4,1,0.0833333333333333
generated_speaking,Language.java,7,66,9.43,19,2.71,343,49,1,1,2,1,0.142857142857143
generated_speaking,Login.java,20,141,7.05,52,2.6,641,32.05,1,1,4,1,0.05
generated_speaking,LoginStrategy.java,2,25,12.5,8,4,161,80.5,1,1,1,0,0
generated_speaking,Question.java,5,40,8,14,2.8,220,44,1,1,2,0,0
generated_speaking,RegistrierterNutzer.java,11,79,7.18,28,2.55,519,47.18,1,1,2,1,0.0909090909090909
generated_speaking,RegularLoginStrategy.java,5,42,8.4,15,3,311,62.2,1,1,1,0,0
generated_speaking,RussianFactory.java,4,48,12,16,4,332,83,1,1,1,0,0
generated_speaking,TranslationQuestion.java,5,66,13.2,15,3,416,83.2,1,1,1,1,0.2
generated_speaking,Utilities.java,4,38,9.5,12,3,268,67,1,1,3,0,0
generated_obfuscated,GuestLoginStrategy.java,5,55,11,24,4.8,417,83.4,1,1,4,0,0
generated_obfuscated,InstructionsPlayRound.java,12,114,9.5,27,2.25,582,48.5,1,1,5,1,0.0833333333333333
generated_obfuscated,Language.java,7,60,8.57,21,3,301,43,1,1,2,1,0.142857142857143
generated_obfuscated,Login.java,20,130,6.5,49,2.45,583,29.15,1,1,13,0,0
generated_obfuscated,LoginStrategy.java,2,28,14,9,4.5,164,82,1,1,0,1,0.5
generated_obfuscated,Question.java,5,42,8.4,17,3.4,246,49.2,1,1,2,1,0.2
generated_obfuscated,RegistrierterNutzer.java,11,87,7.91,27,2.45,567,51.55,1,1,1,8,0.727272727272727
generated_obfuscated,RegularLoginStrategy.java,5,45,9,17,3.4,360,72,1,1,2,1,0.2
generated_obfuscated,RussianFactory.java,4,51,12.75,12,3,293,73.25,1,1,6,0,0
generated_obfuscated,TranslationQuestion.java,5,54,10.8,17,3.4,324,64.8,1,1,6,0,0
generated_obfuscated,Utilities.java,4,51,12.75,15,3.75,348,87,1,1,5,2,0.5
